Generation,Min,Max,Mean
0,0.827516,0.479596,0.660299
1,0.828841,0.553872,0.720272
2,0.835437,0.611481,0.756492
3,0.845298,0.684959,0.783744
4,0.855416,0.727038,0.800643
5,0.856272,0.73693,0.812353
6,0.860861,0.748593,0.822606
7,0.864915,0.772772,0.831632
8,0.87421,0.764479,0.835748
9,0.876086,0.804149,0.847688
10,0.880089,0.806491,0.855086
11,0.88609,0.797297,0.855852
12,0.887582,0.809181,0.864272
13,0.889523,0.808323,0.866569
14,0.896604,0.807077,0.869735
15,0.898338,0.809045,0.869403
16,0.903166,0.818,0.873641
17,0.904733,0.829154,0.879125
18,0.910095,0.836412,0.882976
19,0.912603,0.839552,0.884684
20,0.914339,0.852158,0.894765
21,0.917047,0.849942,0.897065
22,0.918041,0.842131,0.892831
23,0.92417,0.838271,0.892476
24,0.924527,0.82998,0.888945
25,0.925724,0.847298,0.895758
26,0.925727,0.84236,0.894902
27,0.929858,0.870897,0.903694
28,0.930718,0.859543,0.901622
29,0.933314,0.852777,0.906903
30,0.936322,0.860175,0.904137
31,0.942111,0.852898,0.90397
32,0.949424,0.855909,0.910968
33,0.949561,0.866286,0.917968
34,0.949635,0.861893,0.917944
35,0.951316,0.880531,0.926945
36,0.952953,0.885159,0.928256
37,0.953609,0.882134,0.931382
38,0.957,0.898435,0.932042
39,0.957197,0.882672,0.932895
40,0.960955,0.878102,0.933088
41,0.963283,0.886249,0.937621
42,0.965303,0.90692,0.946872
43,0.96553,0.930685,0.951145
44,0.965849,0.922914,0.9537
45,0.968376,0.933861,0.956225
46,0.968936,0.924636,0.955222
47,0.969764,0.91239,0.95329
48,0.969986,0.913023,0.953139
49,0.970066,0.92713,0.955521
50,0.970097,0.9344,0.957541
51,0.970343,0.929357,0.956613
52,0.971391,0.920469,0.957481
53,0.972777,0.921071,0.958249
54,0.973885,0.917209,0.957138
55,0.974113,0.918886,0.957935
56,0.975684,0.924898,0.961672
57,0.977357,0.940089,0.965651
58,0.97739,0.942934,0.965211
59,0.977498,0.919549,0.961245
60,0.977552,0.919768,0.959729
61,0.978047,0.924296,0.960631
62,0.97805,0.923973,0.958861
63,0.978153,0.927179,0.959919
64,0.981701,0.933267,0.962884
65,0.981759,0.912955,0.958487
66,0.981863,0.939133,0.962219
67,0.981975,0.932946,0.965105
68,0.982839,0.937814,0.966105
69,0.983744,0.937727,0.967718
70,0.983837,0.939579,0.969751
71,0.983864,0.942911,0.966819
72,0.984163,0.930217,0.964401
73,0.984391,0.925927,0.963941
74,0.984895,0.929743,0.965039
75,0.986686,0.920884,0.965748
76,0.986738,0.929643,0.967882
77,0.98952,0.930573,0.971076
78,0.989553,0.937421,0.97079
79,0.989554,0.938024,0.973968
80,0.990364,0.93921,0.978204
81,0.990368,0.945607,0.977539
82,0.990427,0.950234,0.979757
83,0.990433,0.96267,0.98147
84,0.990466,0.95318,0.980039
85,0.990553,0.954435,0.980102
