Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 803
Trial 0 Shortest path: 45, 27, 52, 34, 46, 4, 75, 76, 68, 6, 51, 17, 58, 10, 72, 39, 9, 40, 12, 26, 7, 35, 14, 59, 19, 67, 23, 56, 41, 42, 64, 43, 49, 24, 18, 50, 63, 22, 28, 61, 69, 71, 60, 70, 20, 36, 47, 21, 74, 48, 29, 30, 2, 62, 73, 33, 16, 3, 32, 38, 54, 13, 57, 15, 37, 5, 8, 53, 11, 66, 65, 31, 55, 25, 44, 
Trial 0 begin summary section
0,2741,2227,2516.56,0
1,2692,2090,2423.81,0
2,2635,1972,2340.39,0
3,2505,1911,2241.85,0
4,2465,1908,2206.77,0
5,2450,1847,2141.36,0
6,2413,1818,2097.6,0
7,2325,1762,2054.1,0
8,2278,1751,2014.95,0
9,2290,1751,1998.7,0
10,2260,1692,1957.57,0
11,2230,1689,1912.91,0
12,2175,1606,1887.86,0
13,2169,1605,1867.08,0
14,2103,1581,1838.13,0
15,2089,1496,1822.62,0
16,2079,1496,1799.31,0
17,2104,1496,1787.61,0
18,2028,1473,1768.44,0
19,2069,1446,1745.49,0
20,2109,1430,1723.99,0
21,2055,1348,1713.66,0
22,1989,1348,1688.59,0
23,1960,1348,1685.6,0
24,1993,1348,1680.5,0
25,1982,1348,1646.73,0
26,1949,1348,1640.19,0
27,1946,1348,1630.88,0
28,1923,1348,1628.58,0
29,1939,1336,1619.13,0
30,1869,1336,1608.76,0
31,1880,1307,1591.12,0
32,1969,1290,1586.61,0
33,1936,1254,1575.87,0
34,1958,1246,1580.17,0
35,1959,1246,1575.51,0
36,1974,1246,1555.29,0
37,1836,1246,1553.6,0
38,1852,1246,1549.06,0
39,1869,1246,1557.72,0
40,1900,1241,1551.25,0
41,1938,1233,1546.18,0
42,1801,1233,1544.08,0
43,1818,1233,1537.69,0
44,1804,1233,1535.4,0
45,1839,1233,1541.96,0
46,1805,1233,1541.4,0
47,1863,1233,1539.21,0
48,1841,1233,1528.78,0
49,1854,1233,1515.1,0
50,1695,1233,1503.53,0
51,1717,1233,1491.81,0
52,1727,1214,1495.16,0
53,1767,1214,1491.89,0
54,1781,1214,1497.7,0
55,1814,1214,1495.5,0
56,1751,1214,1492,0
57,1735,1211,1490.13,0
58,1758,1202,1483.55,0
59,1759,1202,1492.81,0
60,1769,1202,1493.99,0
61,1742,1202,1480.69,0
62,1807,1202,1489.01,0
63,1829,1202,1483.29,0
64,1792,1202,1486.37,0
65,1764,1202,1477.09,0
66,1763,1202,1483.21,0
67,1789,1200,1478.91,0
68,1741,1189,1465.94,0
69,1673,1189,1452.94,0
70,1695,1189,1445.27,0
71,1774,1183,1454,0
72,1754,1183,1451.42,0
73,1837,1183,1465.93,0
74,1759,1178,1473.31,0
75,1788,1178,1466.16,0
76,1760,1178,1464.04,0
77,1703,1174,1435.49,0
78,1687,1174,1446.86,0
79,1717,1174,1455.09,0
80,1702,1174,1445.37,0
81,1729,1174,1439.82,0
82,1748,1174,1426.65,0
83,1672,1174,1437.52,0
84,1658,1172,1429.59,0
85,1692,1166,1432.28,0
86,1697,1166,1425.36,0
87,1696,1152,1425.33,0
88,1720,1152,1422.48,0
89,1674,1152,1422.58,0
90,1692,1152,1423.95,0
91,1725,1152,1438.64,0
92,1734,1152,1438.38,0
93,1838,1141,1438.85,0
94,1818,1141,1439.18,0
95,1858,1141,1438.14,0
96,1772,1141,1434.24,0
97,1789,1141,1449.87,0
98,1819,1141,1449.96,0
99,1810,1137,1442.37,0
100,1866,1133,1439.6,0
101,1800,1125,1436.55,0
102,1726,1125,1424.98,0
103,1756,1125,1415.2,0
104,1769,1125,1417.4,0
105,1699,1125,1424.54,0
106,1712,1125,1423.59,0
107,1765,1125,1425.58,0
108,1762,1125,1421.77,0
109,1731,1125,1429.72,0
110,1736,1125,1437.32,0
111,1699,1125,1446.74,0
112,1706,1125,1459.43,0
113,1700,1125,1455.5,0
114,1686,1125,1454.07,0
115,1775,1122,1448.11,0
116,1696,1122,1440.69,0
117,1667,1122,1447.73,0
118,1674,1122,1443.25,0
119,1657,1122,1439.08,0
120,1731,1122,1448.43,0
121,1688,1121,1450.19,0
122,1695,1121,1454.64,0
123,1733,1121,1456.35,0
124,1714,1121,1456.72,0
125,1711,1109,1447.61,0
126,1728,1109,1440.69,0
127,1762,1109,1433.95,0
128,1840,1109,1444.64,0
129,1795,1109,1434.45,0
130,1817,1095,1425.68,0
131,1732,1095,1429.71,0
132,1725,1095,1425.42,0
133,1678,1095,1428.09,0
134,1707,1095,1444.03,0
135,1744,1095,1449.22,0
136,1718,1095,1452.5,0
137,1735,1095,1431.94,0
138,1691,1095,1430.37,0
139,1736,1095,1413.56,0
140,1765,1095,1404.11,0
141,1640,1095,1393.37,0
142,1662,1093,1410.67,0
143,1695,1093,1399.51,0
144,1723,1093,1383.04,0
145,1708,1084,1366.78,0
146,1693,1084,1375.54,0
147,1647,1084,1380.29,0
148,1643,1084,1376.22,0
149,1614,1084,1377.84,0
150,1643,1084,1385.65,0
151,1703,1084,1399.19,0
152,1682,1084,1392.7,0
153,1661,1084,1393.2,0
154,1686,1083,1403.67,0
155,1728,1083,1410.28,0
156,1681,1083,1413.58,0
157,1671,1083,1403.46,0
158,1690,1083,1395.21,0
159,1666,1083,1402.52,0
160,1693,1083,1400.77,0
161,1629,1083,1392.66,0
162,1676,1083,1401.3,0
163,1676,1083,1401.25,0
164,1646,1083,1414.92,0
165,1645,1083,1419.51,0
166,1666,1062,1402.67,0
167,1686,1062,1397.15,0
168,1695,1062,1404.96,0
169,1677,1062,1400.8,0
170,1692,1062,1383.44,0
171,1656,1062,1375.64,0
172,1651,1062,1365.94,0
173,1668,1062,1360.63,0
174,1698,1062,1368.22,0
175,1704,1062,1358.88,0
176,1746,1062,1350.77,0
177,1757,1062,1360.33,0
178,1672,1062,1376.05,0
179,1718,1062,1390.92,0
180,1739,1062,1389.63,0
181,1669,1062,1389.67,0
182,1704,1062,1399.61,0
183,1685,1062,1388.27,0
184,1729,1062,1385.68,0
185,1705,1062,1380.93,0
186,1711,1062,1369.3,0
187,1759,1062,1379.51,0
188,1675,1062,1385.36,0
189,1658,1062,1377.81,0
190,1736,1062,1390.13,0
191,1671,1062,1386.8,0
192,1712,1062,1376.55,0
193,1672,1062,1374.31,0
194,1647,1062,1371.16,0
195,1698,1062,1365.28,0
196,1620,1062,1365.52,0
197,1699,1054,1370.99,0
198,1635,1054,1371.27,0
199,1690,1054,1391.59,0
200,1667,1054,1388.97,0
201,1692,1054,1401.71,0
202,1723,1054,1403.1,0
203,1682,1054,1395.24,0
204,1710,1054,1404.26,0
205,1665,1054,1394.29,0
206,1607,1054,1385.35,0
207,1576,1043,1389.89,0
208,1592,1043,1395.68,0
209,1616,1043,1400.93,0
210,1637,1043,1404.29,0
211,1682,1043,1403.14,0
212,1706,1043,1408.79,0
213,1697,1043,1411.6,0
214,1698,1043,1400.91,0
215,1686,1043,1392.22,0
216,1695,1043,1378.6,0
217,1664,1043,1372.7,0
218,1642,1043,1366.39,0
219,1662,1043,1369.66,0
220,1654,1043,1358.49,0
221,1616,1043,1359.26,0
222,1618,1043,1375.17,0
223,1619,1043,1378.2,0
224,1632,1043,1388.12,0
225,1701,1043,1395,0
226,1637,1043,1403.13,0
227,1615,1043,1409.32,0
228,1631,1043,1410.82,0
229,1657,1043,1399.01,0
230,1643,1043,1399.33,0
231,1645,1043,1396.96,0
232,1700,1043,1389.03,0
233,1696,1043,1395.29,0
234,1727,1043,1392.24,0
235,1676,1043,1403.29,0
236,1695,1032,1391.08,0
237,1669,1032,1381.33,0
238,1687,1032,1403.31,0
239,1665,1032,1385.45,0
240,1727,1032,1381.87,0
241,1674,1032,1382.98,0
242,1701,1032,1383.08,0
243,1673,1032,1384.93,0
244,1685,1032,1381.51,0
245,1703,1032,1390.31,0
246,1734,1032,1374.38,0
247,1724,1032,1367.78,0
248,1671,1032,1359.44,0
249,1720,1032,1359.71,0
250,1630,1032,1342.41,0
251,1619,1032,1333.7,0
252,1613,1032,1338.26,0
253,1646,1027,1347.06,0
254,1631,1027,1335.57,0
255,1621,1027,1338.19,0
256,1612,1027,1352.76,0
257,1635,1027,1350.29,0
258,1644,1027,1356.13,0
259,1582,1027,1354.83,0
260,1597,1027,1361.81,0
261,1607,1027,1357.91,0
262,1618,1027,1358.64,0
263,1685,1027,1356.59,0
264,1671,1027,1352.03,0
265,1653,1027,1344.89,0
266,1739,1027,1332.08,0
267,1736,1027,1333.73,0
268,1724,1027,1332.99,0
269,1740,1027,1345.37,0
270,1701,1027,1358.07,0
271,1708,1027,1364,0
272,1683,1027,1368.2,0
273,1684,1027,1349.78,0
274,1671,1027,1369.28,0
275,1711,1027,1375.43,0
276,1696,1027,1365.88,0
277,1761,1027,1361.9,0
278,1654,1027,1363.61,0
279,1648,1027,1371.77,0
280,1734,1027,1381.92,0
281,1784,1027,1357.73,0
282,1779,1027,1352.61,0
283,1684,1027,1347.82,0
284,1705,1027,1366.46,0
285,1666,1027,1380.15,0
286,1636,1027,1384.29,0
287,1644,1027,1397.76,0
288,1661,1027,1389.12,0
289,1648,1027,1389.53,0
290,1661,1027,1395.76,0
291,1635,1027,1400.41,0
292,1668,1027,1404.09,0
293,1639,1027,1400.08,0
294,1661,1027,1398.44,0
295,1705,1027,1393.35,0
296,1719,1027,1403.37,0
297,1747,1027,1410.55,0
298,1725,1027,1417.15,0
299,1739,1027,1421.19,0
300,1700,1027,1413.49,0
301,1726,1027,1414.13,0
302,1747,1027,1390.76,0
303,1794,1027,1394.43,0
304,1746,1027,1391.61,0
305,1657,1027,1392.55,0
306,1679,1027,1384.24,0
307,1673,1027,1388.92,0
308,1673,1027,1384.98,0
309,1779,1027,1400.34,0
310,1701,1027,1405.46,0
311,1784,1027,1410.07,0
312,1764,1027,1430.84,0
313,1673,1027,1419.6,0
314,1701,1027,1402.68,0
315,1755,1013,1418.19,0
316,1711,1013,1429.73,0
317,1715,1013,1423.96,0
318,1729,1013,1422.14,0
319,1706,1013,1422.17,0
320,1746,1013,1398.51,0
321,1740,1013,1387.3,0
322,1664,1013,1405.38,0
323,1663,1013,1408.06,0
324,1680,1013,1419.5,0
325,1703,1013,1403.63,0
326,1754,1013,1399.44,0
327,1756,1013,1384.35,0
328,1821,1013,1395.09,0
329,1683,1013,1389.93,0
330,1632,1013,1383.34,0
331,1675,1013,1379.88,0
332,1668,1013,1394.53,0
333,1665,1013,1384.53,0
334,1757,1013,1371.14,0
